"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"6052","d","2","1","0","1","46","71","76","0","0","0","4"
"2917","d","3","1","2","2","79","19","94","0","0","0","4"
"2005","d","2","1","0","3","95","85","60","0","0","0","4"
"1685","d","2","1","0","4","2","54","8","0","0","0","4"
"1982","d","3","1","2","5","24","80","48","0","0","0","4"
"1428","d","2","1","0","6","7","94","20","0","0","0","4"
"1260","d","3","1","2","7","89","21","54","0","0","0","4"
"892","d","2","1","0","8","44","2","9","0","0","0","4"
"621","d","2","1","0","9","34","28","36","0","0","0","4"
"834","d","2","1","0","10","6","41","63","0","0","0","4"
"1373","d","2","1","0","11","91","1","11","0","0","0","4"
"1102","d","2","1","0","12","93","26","44","0","0","0","4"
"565","d","3","1","2","13","74","82","29","0","0","0","4"
"566","d","2","1","0","14","57","24","14","0","0","0","4"
"1156","d","4","1","1","15","53","85","95","0","0","0","4"
"716","d","3","1","2","16","89","42","19","0","0","0","4"
"541","d","2","1","0","17","39","46","29","0","0","0","4"
"654","d","3","1","2","18","56","47","69","0","0","0","4"
"1266","d","2","1","0","19","47","35","76","0","0","0","4"
"702","d","3","1","2","20","2","17","20","0","0","0","4"
"10044","j","3","0","2","21","37","58","10","1","0","0","4"
"1461","j","3","0","2","22","82","70","4","1","0","0","4"
"2196","j","3","0","2","23","9","4","29","0","0","0","4"
"1021","j","3","0","2","24","49","42","30","0","0","0","4"
"693","j","0","0","-1","25","10","49","70","1","0","1","4"
"1670","j","3","0","2","26","53","18","88","1","0","0","4"
"949","j","0","0","-1","27","16","82","6","0","0","1","4"
"1533","j","0","0","-1","28","31","38","65","0","0","1","4"
"2981","j","3","0","2","29","63","42","40","0","0","0","4"
"3133","j","0","0","-1","30","94","81","0","1","0","1","4"
"1556","k","3","0","2","31","19","42","91","0","0","1","4"
"620","j","0","0","-1","32","30","23","93","0","0","1","4"
"636","j","0","0","-1","33","15","98","80","0","0","1","4"
"582","j","3","0","2","34","2","81","94","0","0","0","4"
"787","k","0","0","-1","35","61","76","16","1","0","0","4"
"1020","j","0","0","-1","36","51","46","5","0","0","1","4"
"547","j","0","0","-1","37","79","70","43","1","0","1","4"
"501","j","0","0","-1","38","49","25","46","1","0","1","4"
"685","j","3","0","2","39","63","19","74","1","0","0","4"
"732","j","3","0","2","40","61","98","32","1","0","0","4"
"22021","","","","","","","","","","","",""
"18711","","","","","","","","","","","",""
"1952","","","","","","","","","","","",""
"null","null","-1","0","-1","44","27","49","16","1","0","1","4"
"null","null","-1","1","-1","45","79","33","20","0","0","1","4"
"1329","d","3","1","2","46","93","41","81","1","0","1","4"
"848","d","2","1","0","47","44","35","38","0","0","1","4"
"null","null","-1","0","-1","48","99","12","21","1","0","0","4"
"1630","j","0","0","-1","49","36","35","21","1","0","1","4"
"1573","d","2","1","0","50","25","92","12","1","0","0","4"
"1382","d","2","1","0","51","4","96","84","0","0","0","4"
"1447","d","2","1","0","52","40","34","37","0","0","0","4"
"1534","j","0","0","-1","53","33","59","39","0","0","1","4"
"1582","j","3","0","2","54","35","39","78","1","0","0","4"
"1849","j","3","0","2","55","43","49","85","0","0","0","4"
"1409","d","2","1","0","56","20","59","79","1","0","1","4"
"1384","j","3","0","2","57","43","14","12","0","0","0","4"
"1280","d","4","1","1","58","31","46","61","1","0","1","4"
"1338","j","3","0","2","59","35","8","48","0","0","0","4"
"1156","d","2","1","0","60","76","77","11","1","0","0","4"
"1254","d","2","1","0","61","25","0","19","0","0","0","4"
"1162","j","0","0","-1","62","68","73","32","0","0","1","4"
"1129","j","0","0","-1","63","70","3","59","1","0","1","4"
"1285","d","2","1","0","64","92","26","95","1","1","0","4"
"1344","j","3","0","2","65","2","9","41","1","1","0","4"
"1317","j","3","0","2","66","56","88","54","1","1","0","4"
"1277","d","2","1","0","67","86","12","20","0","1","1","4"
"1039","d","2","1","0","68","40","26","87","0","1","1","4"
"1162","j","3","0","2","69","18","96","80","0","1","0","4"
"976","d","3","1","2","70","34","92","21","0","1","0","4"
"1130","j","0","0","-1","71","6","63","15","1","1","1","4"
"1096","j","0","0","-1","72","88","0","27","1","1","1","4"
"1166","j","3","0","2","73","3","86","52","1","1","0","4"
"1039","d","2","1","0","74","77","22","93","1","1","0","4"
"1204","j","0","0","-1","75","24","62","55","1","1","1","4"
"1174","j","3","0","2","76","47","22","52","0","1","0","4"
"1062","d","3","1","2","77","22","8","59","0","1","1","4"
"1108","j","0","0","-1","78","61","74","65","1","1","1","4"
"null","null","-1","0","-1","79","81","5","21","0","1","1","4"
"1055","d","2","1","0","80","99","18","69","0","1","1","4"
"1298","d","3","1","2","81","21","18","25","0","1","0","4"
"1483","d","2","1","0","82","2","24","67","0","1","0","4"
"1087","d","2","1","0","83","75","76","46","1","1","1","4"
"1017","d","3","1","2","84","55","98","47","0","2","0","4"
"1021","d","2","1","0","85","12","11","45","1","2","0","4"
"1453","k","3","0","2","86","62","18","33","0","2","1","4"
"1021","k","3","0","2","87","5","20","10","0","2","1","4"
"1215","k","0","0","-1","88","51","74","64","0","2","0","4"
"1304","k","0","0","-1","89","95","55","57","1","2","0","4"
"966","k","3","0","2","90","20","27","54","0","2","1","4"
"1037","k","0","0","-1","91","25","94","72","1","2","0","4"
"676","j","3","0","2","92","92","2","30","1","2","0","4"
"1386","j","0","0","-1","93","23","74","51","0","2","1","4"
"1988","d","2","1","0","94","93","17","0","0","2","1","4"
"1035","d","2","1","0","95","44","92","85","1","2","0","4"
"1035","d","2","1","0","96","51","80","50","0","2","1","4"
"1117","d","2","1","0","97","50","26","91","1","2","1","4"
"1422","k","0","0","-1","98","85","70","74","0","2","0","4"
"1156","d","2","1","0","99","86","25","45","1","2","0","4"
"1129","d","2","1","0","100","43","20","47","1","2","1","4"
"1195","j","0","0","-1","101","85","38","24","1","2","1","4"
"1819","d","2","1","0","102","5","41","11","1","2","1","4"
"1024","d","2","1","0","103","38","43","17","0","2","0","4"
"null","null","-1","0","-1","104","71","42","1","0","3","1","4"
"null","null","-1","0","-1","105","8","1","70","1","3","0","4"
"1362","d","2","1","0","106","81","27","33","0","3","1","4"
"1292","k","3","0","2","107","10","56","66","0","3","1","4"
"928","j","3","0","2","108","64","6","10","0","3","0","4"
"null","null","-1","0","-1","109","96","61","65","0","3","0","4"
"null","null","-1","1","-1","110","74","70","56","0","3","1","4"
"null","null","-1","0","-1","111","32","90","88","0","3","1","4"
"null","null","-1","1","-1","112","78","8","77","1","3","0","4"
"null","null","-1","1","-1","113","50","52","10","1","3","1","4"
"null","null","-1","1","-1","114","39","21","50","1","3","0","4"
"null","null","-1","1","-1","115","43","8","9","1","3","1","4"
"null","null","-1","0","-1","116","1","66","6","0","3","0","4"
"null","null","-1","1","-1","117","8","35","90","1","3","0","4"
"null","null","-1","0","-1","118","83","0","41","1","3","0","4"
"null","null","-1","0","-1","119","88","65","67","1","3","1","4"
"null","null","-1","0","-1","120","68","40","23","1","3","0","4"
"1291","d","2","1","0","121","90","15","3","0","3","0","4"
"1146","d","2","1","0","122","47","75","84","1","3","1","4"
"1232","d","3","1","2","123","46","76","13","0","3","1","4"
"null","null","-1","0","-1","124","99","18","27","1","4","0","4"
"1045","d","2","1","0","125","73","50","88","1","4","0","4"
"1097","j","3","0","2","126","56","88","29","0","4","0","4"
"1233","j","3","0","2","127","90","13","20","0","4","0","4"
"1320","d","2","1","0","128","46","64","13","1","4","1","4"
"1342","j","0","0","-1","129","29","58","51","1","4","1","4"
"1015","d","2","1","0","130","99","95","88","0","4","1","4"
"1097","j","3","0","2","131","65","66","37","1","4","0","4"
"1000","d","2","1","0","132","67","94","9","0","4","1","4"
"1340","d","3","1","2","133","63","2","12","0","4","1","4"
"1198","j","0","0","-1","134","82","77","42","0","4","1","4"
"1008","d","2","1","0","135","22","33","93","0","4","1","4"
"1011","d","3","1","2","136","53","76","37","1","4","0","4"
"1169","j","0","0","-1","137","12","6","81","0","4","1","4"
"1215","j","0","0","-1","138","12","84","4","1","4","1","4"
"1100","d","3","1","2","139","65","89","52","0","4","0","4"
"1091","d","2","1","0","140","69","20","95","1","4","0","4"
"903","d","2","1","0","141","90","48","32","0","4","0","4"
"1229","j","3","0","2","142","53","14","48","1","4","0","4"
"1134","k","3","0","2","143","36","59","11","1","4","1","4"
"1703","d","2","1","0","144","36","22","28","0","5","1","4"
"984","d","2","1","0","145","3","25","51","0","5","0","4"
"null","null","-1","0","-1","146","69","22","77","1","5","1","4"
"602","d","2","1","0","147","13","70","57","1","5","0","4"
"1201","k","0","0","-1","148","11","27","64","0","5","0","4"
"1176","k","3","0","2","149","31","43","67","0","5","1","4"
"753","j","0","0","-1","150","81","6","3","1","5","1","4"
"1131","d","3","1","2","151","72","37","56","1","5","1","4"
"1135","d","2","1","0","152","18","3","21","0","5","1","4"
"715","d","2","1","0","153","36","56","17","1","5","0","4"
"769","d","2","1","0","154","77","78","83","1","5","0","4"
"632","d","2","1","0","155","23","19","3","0","5","0","4"
"1260","j","0","0","-1","156","53","24","18","1","5","1","4"
"1250","d","3","1","2","157","70","59","64","0","5","0","4"
"798","d","3","1","2","158","3","1","10","1","5","0","4"
"1502","j","0","0","-1","159","45","40","65","0","5","1","4"
"1260","k","0","0","-1","160","22","2","30","0","5","0","4"
"757","j","0","0","-1","161","85","35","27","1","5","1","4"
"817","j","0","0","-1","162","49","43","3","0","5","1","4"
"712","k","0","0","-1","163","9","49","2","1","5","0","4"
"null","null","-1","0","-1","164","77","92","60","1","6","0","4"
"1411","d","2","1","0","165","12","43","1","0","6","1","4"
"1603","j","3","0","2","166","87","59","40","0","6","0","4"
"1228","j","0","0","-1","167","90","6","59","1","6","1","4"
"1203","d","4","1","1","168","65","83","21","1","6","1","4"
"1205","d","3","1","2","169","14","57","2","1","6","0","4"
"621","f","3","1","2","170","45","69","65","0","6","0","4"
"1412","j","3","0","2","171","17","71","59","0","6","0","4"
"1084","k","3","0","2","172","53","3","34","0","6","1","4"
"1090","j","0","0","-1","173","58","1","9","0","6","1","4"
"991","d","2","1","0","174","6","29","95","1","6","0","4"
"1175","j","0","0","-1","175","72","35","27","1","6","1","4"
"995","f","2","1","0","176","10","65","5","0","6","0","4"
"1080","d","3","1","2","177","6","33","10","1","6","0","4"
"726","d","3","1","2","178","53","37","60","0","6","1","4"
"null","null","-1","0","-1","179","50","14","8","0","6","1","4"
"1052","j","0","0","-1","180","2","77","23","1","6","1","4"
"1138","d","2","1","0","181","96","46","88","1","6","0","4"
"979","d","4","1","1","182","61","17","88","1","6","0","4"
"1149","j","0","0","-1","183","75","91","37","0","6","1","4"
"1598","j","0","0","-1","184","10","64","29","0","7","1","4"
"942","j","0","0","-1","185","72","19","98","1","7","1","4"
"777","j","3","0","2","186","71","79","90","1","7","0","4"
"1535","d","2","1","0","187","51","22","82","1","7","0","4"
"1236","j","0","0","-1","188","80","31","9","0","7","1","4"
"1345","d","3","1","2","189","63","1","0","0","7","1","4"
"1365","j","0","0","-1","190","11","41","80","1","7","1","4"
"1142","d","3","1","2","191","60","52","64","1","7","0","4"
"941","d","2","1","0","192","73","57","59","1","7","0","4"
"1386","k","0","0","-1","193","58","49","17","0","7","0","4"
"795","j","0","0","-1","194","21","49","60","0","7","1","4"
"1254","d","3","1","2","195","71","80","70","0","7","0","4"
"1260","j","0","0","-1","196","44","89","76","0","7","1","4"
"1079","d","2","1","0","197","21","13","62","1","7","1","4"
"1417","j","3","0","2","198","92","85","77","1","7","0","4"
"1195","d","2","1","0","199","54","27","56","1","7","1","4"
"1623","d","3","1","2","200","94","79","13","0","7","0","4"
"667","d","4","1","1","201","17","46","63","1","7","1","4"
"1584","j","3","0","2","202","76","17","46","0","7","0","4"
"591","d","2","1","0","203","54","10","55","0","7","0","4"
"1357","j","0","0","-1","204","29","68","20","0","8","1","4"
"1126","d","2","1","0","205","92","37","74","0","8","0","4"
"758","d","2","1","0","206","25","76","76","0","8","1","4"
"1408","j","0","0","-1","207","9","53","15","1","8","1","4"
"1286","j","3","0","2","208","89","57","77","0","8","0","4"
"1464","d","2","1","0","209","60","51","22","1","8","0","4"
"720","d","2","1","0","210","30","76","14","1","8","1","4"
"1268","j","3","0","2","211","59","45","55","1","8","0","4"
"1330","d","3","1","2","212","83","78","61","1","8","0","4"
"1068","d","2","1","0","213","45","61","30","0","8","0","4"
"1195","j","3","0","2","214","17","44","14","1","8","0","4"
"1243","d","4","1","1","215","22","25","56","1","8","0","4"
"1087","d","2","1","0","216","69","89","9","1","8","1","4"
"1358","j","3","0","2","217","21","43","76","1","8","0","4"
"776","j","0","0","-1","218","98","46","71","1","8","1","4"
"829","j","0","0","-1","219","28","17","64","0","8","1","4"
"1107","d","2","1","0","220","74","60","78","0","8","1","4"
"1144","j","0","0","-1","221","9","75","39","0","8","1","4"
"1114","d","4","1","1","222","57","76","30","0","8","0","4"
"1527","j","0","0","-1","223","7","35","37","0","8","1","4"
"null","null","-1","0","-1","224","12","26","76","0","9","1","4"
"1372","d","2","1","0","225","57","69","62","0","9","1","4"
"1361","j","0","0","-1","226","53","96","90","1","9","1","4"
"1240","d","2","1","0","227","46","9","41","0","9","0","4"
"null","null","-1","0","-1","228","56","70","63","1","9","0","4"
"1005","d","4","1","1","229","9","10","21","0","9","0","4"
"null","null","-1","0","-1","230","76","21","72","1","9","0","4"
"1356","d","3","1","2","231","22","37","55","0","9","1","4"
"1276","j","3","0","2","232","62","76","52","0","9","0","4"
"1126","d","3","1","2","233","88","62","23","0","9","0","4"
"1300","j","0","0","-1","234","64","18","47","1","9","1","4"
"1500","j","3","0","2","235","12","41","55","1","9","0","4"
"1263","j","0","0","-1","236","25","26","31","0","9","1","4"
"766","k","0","0","-1","237","12","87","2","0","9","0","4"
"1254","d","2","1","0","238","92","38","72","0","9","1","4"
"1064","d","3","1","2","239","44","34","13","1","9","1","4"
"1040","d","2","1","0","240","33","63","23","1","9","1","4"
"1228","k","0","0","-1","241","10","11","15","1","9","0","4"
"1234","d","3","1","2","242","46","8","23","1","9","1","4"
