"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"4309.5","d","2","1","0","1","57","4","0","0","0","4"
"1116.199999988079","d","3","1","2","2","47","30","0","0","0","4"
"725.4000000357628","f","3","1","2","3","2","21","0","0","0","4"
"733.1999999880791","d","3","1","2","4","51","16","0","0","0","4"
"789.1000000238419","f","2","1","0","5","6","13","0","0","0","4"
"901.8000000119209","d","3","1","2","6","78","67","0","0","0","4"
"868.6999999880791","f","2","1","0","7","59","7","0","0","0","4"
"741.2000000476837","d","3","1","2","8","21","50","0","0","0","4"
"773.8999999761581","f","2","1","0","9","91","35","0","0","0","4"
"748.7999999523163","d","2","1","0","10","21","51","0","0","0","4"
"604.6999999880791","f","2","1","0","11","39","11","0","0","0","4"
"611.9000000357628","d","4","1","1","12","1","52","0","0","0","4"
"613.0999999642372","f","2","1","0","13","32","70","0","0","0","4"
"628.1000000238419","d","4","1","1","14","53","92","0","0","0","4"
"717.6000000238419","f","2","1","0","15","29","90","0","0","0","4"
"773.1000000238419","d","3","1","2","16","23","91","0","0","0","4"
"533.6999999880791","f","2","1","0","17","77","54","0","0","0","4"
"636.1000000238419","d","2","1","0","18","15","12","0","0","0","4"
"533.0999999642372","f","2","1","0","19","63","23","0","0","0","4"
"732","d","2","1","0","20","98","34","0","0","0","4"
"677.6999999880791","k","3","0","2","21","26","55","1","0","1","4"
"556.3000000119209","k","3","0","2","22","10","31","1","0","1","4"
"2853.199999988079","j","3","0","2","23","61","55","0","0","0","4"
"668.6000000238419","j","0","0","-1","24","36","0","0","0","1","4"
"699.8000000119209","k","3","0","2","25","12","62","1","0","1","4"
"789.1000000238419","j","0","0","-1","26","2","40","0","0","1","4"
"565.5","k","0","0","-1","27","60","51","0","0","0","4"
"540","j","0","0","-1","28","4","54","0","0","1","4"
"596.8000000119209","k","0","0","-1","29","33","61","0","0","0","4"
"642.1000000238419","j","0","0","-1","30","18","13","1","0","1","4"
"517.6000000238419","k","3","0","2","31","93","22","0","0","1","4"
"563.8000000119209","j","3","0","2","32","84","21","0","0","0","4"
"572.7000000476837","k","0","0","-1","33","1","96","1","0","0","4"
"436","j","3","0","2","34","75","96","0","0","0","4"
"605.5","k","3","0","2","35","63","67","1","0","1","4"
"675.8000000119209","j","0","0","-1","36","11","97","1","0","1","4"
"196","k","0","0","-1","37","25","56","0","0","0","4"
"573.8000000119209","k","3","0","2","38","4","2","1","0","1","4"
"773.6999999880791","j","3","0","2","39","79","2","0","0","0","4"
"346.89999997615814","j","3","0","2","40","83","84","1","0","0","4"
"21744.299999952316","","","","","","","","","","",""
"6471.099999964237","","","","","","","","","","",""
"5145.199999988079","","","","","","","","","","",""
"3711.899999976158","","","","","","","","","","",""
"null","null","-1","0","-1","45","5","42","1","0","0","4"
"null","null","-1","0","-1","46","47","31","1","0","1","4"
"566.8000000119209","k","3","0","2","47","99","15","1","0","1","4"
"287.19999998807907","k","0","0","-1","48","2","94","0","0","0","4"
"247.5","j","0","0","-1","49","38","32","1","0","1","4"
"null","null","-1","1","-1","50","50","33","0","0","0","4"
"1062.2000000476837","d","2","1","0","51","55","32","0","0","0","4"
"942.6000000238419","d","2","1","0","52","34","96","0","0","0","4"
"975.0999999642372","k","0","0","-1","53","39","8","1","0","0","4"
"717.9000000357628","d","3","1","2","54","56","85","0","0","0","4"
"1335.699999988079","d","3","1","2","55","66","26","0","0","0","4"
"null","null","-1","0","-1","56","67","13","1","0","1","4"
"724.7999999523163","k","3","0","2","57","36","39","0","0","1","4"
"1335.5","d","2","1","0","58","97","41","0","0","1","4"
"738.8000000119209","d","2","1","0","59","57","18","1","0","1","4"
"1039.6000000238419","k","3","0","2","60","67","82","1","0","1","4"
"960.1000000238419","d","3","1","2","61","1","6","1","0","1","4"
"null","null","-1","1","-1","62","89","42","1","0","0","4"
"1724.2000000476837","j","3","0","2","63","51","52","0","0","0","4"
"null","null","-1","1","-1","64","67","6","0","0","1","4"
"null","null","-1","0","-1","65","27","46","0","1","0","4"
"905.0999999642372","d","2","1","0","66","8","57","0","1","1","4"
"1063.0999999642372","k","0","0","-1","67","47","61","0","1","0","4"
"1454.8999999761581","j","3","0","2","68","93","79","1","1","0","4"
"839","k","0","0","-1","69","8","55","0","1","0","4"
"1326.3999999761581","k","3","0","2","70","7","8","1","1","1","4"
"1367.300000011921","d","2","1","0","71","51","17","1","1","1","4"
"1543.800000011921","d","2","1","0","72","23","57","1","1","1","4"
"1855.7000000476837","k","3","0","2","73","63","26","1","1","1","4"
"1632","k","0","0","-1","74","59","18","1","1","0","4"
"1111.5999999642372","d","2","1","0","75","22","81","1","1","0","4"
"null","null","-1","0","-1","76","56","51","1","1","0","4"
"null","null","-1","1","-1","77","42","50","0","1","1","4"
"193.19999998807907","f","2","1","0","78","77","86","1","1","1","4"
"1976.4000000357628","d","2","1","0","79","60","7","0","1","0","4"
"1447.9000000357628","f","2","1","0","80","30","81","0","1","1","4"
"1431.699999988079","f","4","1","1","81","1","46","0","1","0","4"
"null","null","-1","0","-1","82","27","46","0","1","1","4"
"788.8999999761581","d","2","1","0","83","52","61","0","1","1","4"
"726.6000000238419","j","3","0","2","84","41","24","1","1","0","4"
"898.8000000119209","d","2","1","0","85","99","31","1","2","0","4"
"1471.5","f","2","1","0","86","75","69","0","2","1","4"
"1150.300000011921","f","2","1","0","87","52","17","1","2","1","4"
"1375.6000000238419","j","0","0","-1","88","31","82","0","2","1","4"
"1264.7999999523163","j","3","0","2","89","72","29","0","2","0","4"
"880.4000000357628","j","3","0","2","90","4","16","1","2","0","4"
"966.1000000238419","j","3","0","2","91","98","36","1","2","0","4"
"1768.1000000238419","f","3","1","2","92","40","64","1","2","1","4"
"1278.3999999761581","d","3","1","2","93","49","45","1","2","0","4"
"1704.6000000238419","j","3","0","2","94","62","71","0","2","0","4"
"null","null","-1","1","-1","95","16","57","1","2","0","4"
"957.8000000119209","f","2","1","0","96","46","23","0","2","0","4"
"1232.199999988079","j","3","0","2","97","72","48","1","2","0","4"
"1959","f","3","1","2","98","84","79","0","2","1","4"
"1528.699999988079","f","2","1","0","99","60","59","1","2","1","4"
"1191.1000000238419","j","3","0","2","100","96","14","0","2","0","4"
"1181.6000000238419","j","0","0","-1","101","32","97","0","2","1","4"
"1088","f","2","1","0","102","84","12","0","2","1","4"
"1167","j","0","0","-1","103","68","16","0","2","1","4"
"1416.300000011921","k","3","0","2","104","36","0","1","2","1","4"
"1121.300000011921","j","0","0","-1","105","97","59","0","3","1","4"
"1063.3999999761581","j","0","0","-1","106","81","71","1","3","1","4"
"992.5","f","2","1","0","107","16","71","0","3","1","4"
"903.6999999880791","j","3","0","2","108","27","70","1","3","0","4"
"937.8999999761581","d","2","1","0","109","76","74","1","3","0","4"
"1262.699999988079","d","4","1","1","110","74","49","0","3","1","4"
"1936.7000000476837","k","0","0","-1","111","92","78","0","3","0","4"
"927.8999999761581","k","3","0","2","112","93","4","0","3","1","4"
"713","d","2","1","0","113","38","48","0","3","1","4"
"614.6999999880791","k","3","0","2","114","82","39","1","3","1","4"
"569","d","2","1","0","115","17","14","1","3","0","4"
"760.3000000119209","k","0","0","-1","116","81","29","0","3","0","4"
"630.3000000119209","d","2","1","0","117","96","50","0","3","0","4"
"926.5999999642372","d","3","1","2","118","28","73","1","3","0","4"
"1064.6000000238419","j","3","0","2","119","20","28","0","3","0","4"
"1070.800000011921","j","3","0","2","120","12","97","1","3","0","4"
"null","null","-1","1","-1","121","74","38","1","3","1","4"
"961.1999999880791","f","2","1","0","122","9","21","1","3","1","4"
"1063.1000000238419","j","0","0","-1","123","82","64","0","3","1","4"
"726.5","d","3","1","2","124","33","93","1","3","0","4"
"null","null","-1","1","-1","125","47","46","1","4","0","4"
"1023","j","0","0","-1","126","90","19","1","4","1","4"
"975","k","3","0","2","127","79","47","0","4","1","4"
"null","null","-1","1","-1","128","63","31","0","4","0","4"
"1094.0999999642372","f","2","1","0","129","79","6","1","4","1","4"
"1062.9000000357628","f","3","1","2","130","35","74","0","4","1","4"
"1137.199999988079","j","3","0","2","131","14","64","0","4","0","4"
"991.8999999761581","j","3","0","2","132","88","28","1","4","0","4"
"1071.9000000357628","k","3","0","2","133","19","27","0","4","1","4"
"1169","f","2","1","0","134","41","38","0","4","1","4"
"871.6000000238419","d","4","1","1","135","49","95","0","4","1","4"
"1335","j","0","0","-1","136","40","26","1","4","1","4"
"1272.6000000238419","k","0","0","-1","137","99","84","1","4","0","4"
"1328","d","4","1","1","138","76","13","0","4","0","4"
"999.7000000476837","d","2","1","0","139","24","58","0","4","0","4"
"null","null","-1","1","-1","140","13","46","1","4","1","4"
"1247.7000000476837","k","0","0","-1","141","29","39","1","4","0","4"
"817.2000000476837","d","2","1","0","142","27","33","1","4","0","4"
"1312.4000000357628","k","0","0","-1","143","33","6","0","4","0","4"
"1001.1999999880791","j","0","0","-1","144","39","18","1","4","1","4"
"1008.5","d","2","1","0","145","11","95","0","5","0","4"
"1214.9000000357628","f","2","1","0","146","69","96","1","5","0","4"
"null","null","-1","1","-1","147","77","24","0","5","1","4"
"965.4000000357628","f","2","1","0","148","76","12","1","5","1","4"
"1118.1000000238419","k","0","0","-1","149","94","81","0","5","0","4"
"920.1000000238419","j","0","0","-1","150","43","80","1","5","1","4"
"1974.9000000357628","f","2","1","0","151","8","62","1","5","1","4"
