"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"6530","f","2","1","0","1","80","55","0","0","0","4"
"2681.699999988079","f","3","1","2","2","38","67","0","0","0","4"
"1085.4000000059605","d","3","1","2","3","12","45","0","0","0","4"
"492.19999998807907","f","3","1","2","4","45","67","0","0","0","4"
"622.7999999821186","f","3","1","2","5","47","21","0","0","0","4"
"1452.4000000059605","f","2","1","0","6","15","65","0","0","0","4"
"698","f","4","1","1","7","77","17","0","0","0","4"
"567","f","3","1","2","8","65","79","0","0","0","4"
"1033.2999999821186","d","2","1","0","9","29","93","0","0","0","4"
"590.7999999821186","d","4","1","1","10","19","15","0","0","0","4"
"523.4000000059605","f","3","1","2","11","44","2","0","0","0","4"
"334.10000002384186","d","2","1","0","12","41","72","0","0","0","4"
"468.30000001192093","d","2","1","0","13","54","69","0","0","0","4"
"514.8000000119209","d","3","1","2","14","65","86","0","0","0","4"
"535.0999999940395","d","4","1","1","15","98","77","0","0","0","4"
"378.90000000596046","f","2","1","0","16","71","69","0","0","0","4"
"355.40000000596046","d","3","1","2","17","33","96","0","0","0","4"
"320","d","2","1","0","18","17","15","0","0","0","4"
"927.7000000178814","d","3","1","2","19","58","83","0","0","0","4"
"861.6999999880791","f","3","1","2","20","23","78","0","0","0","4"
"2866.5999999940395","j","3","0","2","21","13","24","0","0","0","4"
"1767.800000011921","k","3","0","2","22","64","87","0","0","1","4"
"2161.5","k","3","0","2","23","92","60","0","0","1","4"
"1620.9000000059605","k","3","0","2","24","45","29","0","0","1","4"
"1489","j","3","0","2","25","36","90","1","0","0","4"
"1071.0999999940395","j","0","0","-1","26","63","64","0","0","1","4"
"1498.5999999940395","k","3","0","2","27","56","84","0","0","1","4"
"1305.800000011921","k","3","0","2","28","15","74","0","0","1","4"
"1479.800000011921","k","3","0","2","29","15","84","1","0","1","4"
"1098.1000000238419","j","3","0","2","30","60","67","1","0","0","4"
"1232.5","j","0","0","-1","31","79","70","1","0","1","4"
"1590.4000000059605","k","0","0","-1","32","51","83","1","0","0","4"
"1500.9000000059605","j","3","0","2","33","48","87","0","0","0","4"
"1245.3999999761581","k","0","0","-1","34","65","6","1","0","0","4"
"327.40000000596046","j","0","0","-1","35","62","38","0","0","1","4"
"299.10000002384186","k","3","0","2","36","51","41","1","0","1","4"
"669","j","3","0","2","37","81","61","1","0","0","4"
"341.5","j","3","0","2","38","2","77","1","0","0","4"
"1203","k","0","0","-1","39","28","88","1","0","0","4"
"395.60000002384186","j","0","0","-1","40","9","31","1","0","1","4"
"15098.40000000596","","","","","","","","","","",""
"4282.5","","","","","","","","","","",""
"249","d","4","1","1","43","1","48","1","0","1","4"
"null","null","-1","0","-1","44","47","96","1","0","0","4"
