"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"10141","d","2","1","0","1","53","46","51","0","0","0","1"
"1605","f","2","1","0","2","27","24","59","0","0","0","1"
"1196","f","2","1","0","3","74","46","0","0","0","0","1"
"1331","f","3","1","1","4","48","5","51","0","0","0","1"
"794","f","2","1","0","5","79","22","73","0","0","0","1"
"3320","d","2","1","0","6","33","36","93","0","0","0","1"
"1147","d","2","1","0","7","73","33","40","0","0","0","1"
"422","d","2","1","0","8","48","54","71","0","0","0","1"
"61","f","4","1","2","9","87","35","39","0","0","0","1"
"112","f","2","1","0","10","41","10","0","0","0","0","1"
"189","d","2","1","0","11","39","12","57","0","0","0","1"
"137","d","2","1","0","12","85","70","7","0","0","0","1"
"4","d","2","1","0","13","97","11","0","0","0","0","1"
"137","d","3","1","1","14","63","93","48","0","0","0","1"
"44","d","2","1","0","15","57","39","90","0","0","0","1"
"126","d","2","1","0","16","27","55","79","0","0","0","1"
"111","d","2","1","0","17","66","80","10","0","0","0","1"
"53","d","3","1","1","18","85","31","75","0","0","0","1"
"142","d","4","1","2","19","6","24","69","0","0","0","1"
"213","d","2","1","0","20","86","28","93","0","0","0","1"
"96971","k","0","0","-1","21","16","88","26","1","0","0","1"
"5404","j","0","0","-1","22","35","66","24","0","0","1","1"
"3270","k","0","0","-1","23","17","6","82","1","0","0","1"
"969","j","0","0","-1","24","82","9","35","0","0","1","1"
"2564","k","0","0","-1","25","75","51","31","0","0","0","1"
"1181","j","3","0","1","26","95","6","42","1","0","0","1"
"1178","j","3","0","1","27","85","3","61","1","0","0","1"
"1588","k","3","0","1","28","62","39","55","1","0","1","1"
"1554","j","3","0","1","29","87","12","37","0","0","0","1"
"2287","k","0","0","-1","30","17","67","1","0","0","0","1"
"1752","k","0","0","-1","31","23","11","79","1","0","0","1"
"2262","k","3","0","1","32","39","78","69","0","0","1","1"
"2008","j","0","0","-1","33","85","43","51","0","0","1","1"
"1089","k","3","0","1","34","9","81","86","0","0","1","1"
"1610","k","0","0","-1","35","90","66","54","1","0","0","1"
"2855","k","3","0","1","36","25","19","65","0","0","1","1"
"2186","k","3","0","1","37","41","86","3","1","0","1","1"
"887","k","3","0","1","38","79","67","56","1","0","1","1"
"2543","k","3","0","1","39","45","22","9","0","0","1","1"
"1748","k","3","0","1","40","51","73","40","1","0","1","1"
"10933","","","","","","","","","","","",""
"11654","","","","","","","","","","","",""
"null","null","-1","0","-1","43","55","5","23","0","0","1","1"
"null","null","-1","0","-1","44","37","7","44","0","0","0","1"
"null","null","-1","1","-1","45","76","64","7","1","0","0","1"
"null","null","-1","1","-1","46","53","33","74","0","0","0","1"
"104","j","0","0","-1","47","23","56","22","0","0","1","1"
"null","null","-1","0","-1","48","71","34","12","0","0","0","1"
"null","null","-1","0","-1","49","33","57","57","0","0","1","1"
"1557","d","3","1","1","50","18","4","19","1","0","1","1"
"1801","d","2","1","0","51","27","95","21","1","0","0","1"
"1788","d","4","1","2","52","50","64","1","0","0","1","1"
"1754","d","2","1","0","53","16","79","20","0","0","0","1"
"1729","d","4","1","2","54","29","40","23","0","0","1","1"
"1268","d","2","1","0","55","79","54","34","0","0","0","1"
"1484","j","0","0","-1","56","1","55","2","1","0","1","1"
"1513","d","2","1","0","57","73","88","42","1","0","0","1"
"1319","d","2","1","0","58","89","77","21","1","0","0","1"
"1798","j","0","0","-1","59","40","91","57","1","0","1","1"
"1707","k","3","0","1","60","39","18","59","1","0","1","1"
"null","null","-1","0","-1","61","39","38","55","1","0","1","1"
"null","null","-1","0","-1","62","4","53","29","1","0","0","1"
"null","null","-1","1","-1","63","8","9","77","1","1","1","1"
"544","j","0","0","-1","64","59","33","49","1","1","1","1"
"23","j","3","0","1","65","29","4","38","0","1","0","1"
"154","f","3","1","1","66","11","32","48","0","1","0","1"
"549","k","3","0","1","67","25","67","91","1","1","1","1"
"181","j","0","0","-1","68","55","94","36","1","1","1","1"
"null","null","-1","1","-1","69","92","81","0","0","1","0","1"
"null","null","-1","1","-1","70","72","42","16","1","1","0","1"
"721","k","0","0","-1","71","13","73","65","1","1","0","1"
"1683","d","2","1","0","72","18","52","7","0","1","1","1"
"305","k","0","0","-1","73","62","19","75","0","1","0","1"
"1530","d","4","1","2","74","3","93","21","1","1","0","1"
"null","null","-1","0","-1","75","40","20","26","0","1","0","1"
"885","f","4","1","2","76","67","88","90","1","1","1","1"
"1821","f","4","1","2","77","56","30","46","1","1","1","1"
"1293","f","2","1","0","78","4","45","34","0","1","1","1"
"1040","f","3","1","1","79","39","24","41","0","1","0","1"
"null","null","-1","0","-1","80","14","89","51","0","1","1","1"
"null","null","-1","0","-1","81","70","56","80","1","1","0","1"
"null","null","-1","0","-1","82","46","77","36","0","1","1","1"
"1906","f","2","1","0","83","84","28","2","1","2","0","1"
"1308","f","2","1","0","84","1","36","16","1","2","1","1"
"null","null","-1","0","-1","85","59","64","81","1","2","1","1"
"492","k","0","0","-1","86","13","59","58","1","2","0","1"
"1305","f","4","1","2","87","58","46","29","1","2","1","1"
"893","k","0","0","-1","88","84","87","2","0","2","0","1"
"null","null","-1","0","-1","89","50","42","73","1","2","0","1"
"1543","k","0","0","-1","90","57","43","73","0","2","0","1"
"null","null","-1","1","-1","91","44","90","73","1","2","0","1"
"null","null","-1","1","-1","92","60","74","98","1","2","0","1"
"1538","f","2","1","0","93","25","39","89","0","2","1","1"
"1808","f","3","1","1","94","49","7","22","0","2","0","1"
"537","f","4","1","2","95","23","66","1","0","2","1","1"
"1645","k","3","0","1","96","99","86","31","1","2","1","1"
"1387","k","0","0","-1","97","31","71","13","0","2","0","1"
"1637","f","3","1","1","98","86","46","80","0","2","1","1"
"1294","f","2","1","0","99","28","30","8","0","2","1","1"
"1783","k","3","0","1","100","11","39","8","0","2","1","1"
"null","null","-1","0","-1","101","33","68","67","1","2","1","1"
"1464","k","0","0","-1","102","86","32","4","0","2","0","1"
"null","null","-1","0","-1","103","51","10","77","0","3","0","1"
"1544","k","0","0","-1","104","93","48","56","1","3","0","1"
