"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"1592","f","4","1","0","1","52","22","78","0","0","0","0"
"539","f","2","1","2","2","62","59","60","0","0","0","0"
"461","d","4","1","0","3","32","88","52","0","0","0","0"
"372","d","3","1","1","4","8","86","25","0","0","0","0"
"310","f","2","1","2","5","80","90","90","0","0","0","0"
"354","f","4","1","0","6","68","41","42","0","0","0","0"
"371","d","3","1","1","7","57","83","51","0","0","0","0"
"330","f","2","1","2","8","62","84","10","0","0","0","0"
"391","d","2","1","2","9","17","83","32","0","0","0","0"
"360","f","3","1","1","10","81","13","62","0","0","0","0"
"334","d","2","1","2","11","3","94","24","0","0","0","0"
"304","f","2","1","2","12","91","40","97","0","0","0","0"
"270","f","3","1","1","13","81","75","50","0","0","0","0"
"303","f","4","1","0","14","27","61","25","0","0","0","0"
"265","d","3","1","1","15","40","34","63","0","0","0","0"
"269","d","3","1","1","16","79","49","97","0","0","0","0"
"309","f","3","1","1","17","31","1","46","0","0","0","0"
"255","f","2","1","2","18","16","51","19","0","0","0","0"
"252","d","3","1","1","19","47","0","70","0","0","0","0"
"297","d","2","1","2","20","22","83","3","0","0","0","0"
"2843","j","0","0","-1","21","15","23","74","1","0","1","0"
"2001","k","3","0","1","22","38","87","26","0","0","1","0"
"1172","k","3","0","1","23","18","39","82","0","0","1","0"
"3238","k","3","0","1","24","23","88","29","1","0","1","0"
"3857","j","0","0","-1","25","64","86","96","0","0","1","0"
"650","k","0","0","-1","26","28","89","46","0","0","0","0"
"1645","k","3","0","1","27","14","41","17","0","0","1","0"
"2178","k","0","0","-1","28","70","38","34","1","0","0","0"
"914","j","3","0","1","29","83","4","22","1","0","0","0"
"2054","k","3","0","1","30","63","23","26","0","0","1","0"
"1040","j","3","0","1","31","8","52","83","0","0","0","0"
"865","j","3","0","1","32","8","82","70","1","0","0","0"
"1258","j","3","0","1","33","7","77","14","0","0","0","0"
"721","k","3","0","1","34","19","9","75","0","0","1","0"
"893","k","3","0","1","35","55","11","29","0","0","1","0"
"1378","k","3","0","1","36","53","89","82","1","0","1","0"
"2278","k","0","0","-1","37","82","92","45","1","0","0","0"
"872","j","0","0","-1","38","2","51","78","1","0","1","0"
"996","k","0","0","-1","39","13","73","40","0","0","0","0"
"1604","j","3","0","1","40","42","17","98","1","0","0","0"
"2638","","","","","","","","","","","",""
"1044","j","3","0","1","42","8","83","30","0","0","0","0"
"1383","d","2","1","2","43","49","65","82","1","0","1","0"
"565","f","4","1","0","44","16","9","3","0","0","0","0"
"445","d","3","1","1","45","79","6","81","0","0","1","0"
"1153","d","3","1","1","46","82","10","60","1","0","1","0"
"512","d","3","1","1","47","56","16","1","0","0","1","0"
"1280","k","3","0","1","48","95","1","86","0","0","1","0"
"996","j","3","0","1","49","47","57","28","1","0","0","0"
"1358","k","0","0","-1","50","62","55","79","1","0","0","0"
"1339","j","3","0","1","51","21","50","44","1","0","0","0"
"1610","k","0","0","-1","52","33","1","97","0","0","0","0"
"878","f","2","1","2","53","72","7","41","1","0","1","0"
"810","f","2","1","2","54","78","84","58","1","0","1","0"
"1075","j","3","0","1","55","34","65","73","1","0","0","0"
"1066","j","3","0","1","56","30","29","63","0","0","0","0"
"1396","k","3","0","1","57","24","69","12","1","0","1","0"
"null","null","-1","0","-1","58","69","61","54","0","0","1","0"
"786","f","2","1","2","59","83","64","4","0","0","0","0"
"787","f","4","1","0","60","73","41","17","1","0","1","0"
"568","f","4","1","0","61","26","66","45","0","0","0","0"
"1175","k","3","0","1","62","23","28","45","1","1","1","0"
"1126","j","3","0","1","63","11","39","41","0","1","0","0"
"683","d","3","1","1","64","13","44","37","1","1","1","0"
"584","d","3","1","1","65","41","91","6","0","1","0","0"
"1163","k","0","0","-1","66","1","56","56","1","1","0","0"
"1454","k","3","0","1","67","25","18","79","1","1","1","0"
"476","f","3","1","1","68","80","74","7","0","1","1","0"
