"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"829","f","28","0","1","1","16","42","95","0","0","0","4"
"100","f","28","0","1","2","65","2","25","0","0","0","4"
"309","d","26","0","1","3","47","51","15","0","0","0","4"
"52","d","33","0","1","4","19","41","47","0","0","0","4"
"256","d","28","0","1","5","38","9","32","0","0","0","4"
"247","d","28","0","1","6","4","74","94","0","0","0","4"
"129","d","26","0","1","7","47","67","42","0","0","0","4"
"236","d","28","0","1","8","42","40","65","0","0","0","4"
"273","d","27","0","1","9","27","40","89","0","0","0","4"
"298","f","35","0","1","10","83","87","0","0","0","0","4"
"192","f","26","0","1","11","93","24","96","0","0","0","4"
"247","d","28","0","1","12","65","89","42","0","0","0","4"
"112","d","32","0","1","13","13","17","46","0","0","0","4"
"208","d","27","0","1","14","45","17","80","0","0","0","4"
"168","d","31","0","1","15","49","65","88","0","0","0","4"
"238","f","26","0","1","16","18","5","55","0","0","0","4"
"186","d","26","0","1","17","71","44","85","0","0","0","4"
"217","d","28","0","1","18","8","87","93","0","0","0","4"
"1183","d","30","0","1","19","58","75","77","0","0","0","4"
"908","d","26","0","1","20","86","82","6","0","0","0","4"
"488","k","30","0","0","21","85","34","6","1","0","1","4"
"44","j","30","0","0","22","41","97","16","0","0","0","4"
"76","j","0","0","0","23","28","52","35","0","0","1","4"
"131","j","0","0","0","24","41","23","98","1","0","1","4"
"104","j","30","0","0","25","55","5","26","1","0","0","4"
"51","k","30","0","0","26","18","36","57","1","0","1","4"
"114","k","0","0","0","27","60","71","31","0","0","0","4"
"202","k","0","0","0","28","9","7","85","1","0","0","4"
"183","k","0","0","0","29","27","35","88","1","0","0","4"
"14","j","0","0","0","30","17","32","41","0","0","1","4"
"150","j","30","0","0","31","49","24","78","1","0","0","4"
"4","k","30","0","0","32","84","26","13","0","0","1","4"
"178","k","0","0","0","33","64","32","7","1","0","0","4"
"16","k","0","0","0","34","66","48","21","0","0","0","4"
"76","j","30","0","0","35","79","44","33","0","0","0","4"
"106","k","30","0","0","36","36","16","60","0","0","1","4"
"146","j","0","0","0","37","76","68","50","0","0","1","4"
"238","k","30","0","0","38","87","35","50","0","0","1","4"
"147","j","30","0","0","39","34","2","91","1","0","0","4"
"6","k","0","0","0","40","16","25","12","1","0","0","4"
"5797","","","","","","","","","","","",""
"3652","","","","","","","","","","","",""
"128","k","30","3","0","43","22","91","59","1","0","1","4"
"52","k","0","3","0","44","68","92","78","0","0","0","4"
"262","f","29","3","1","45","80","83","43","0","0","0","4"
"173","d","34","3","1","46","96","24","49","1","0","0","4"
"227","j","0","3","0","47","76","94","21","0","0","1","4"
"18","j","30","3","0","48","48","52","4","0","0","0","4"
"168","f","35","3","1","49","76","17","49","0","0","0","4"
"146","k","30","3","0","50","1","26","26","1","0","1","4"
"5","f","30","3","1","51","78","23","59","0","0","1","4"
"253","f","28","3","1","52","6","93","49","1","0","1","4"
"96","k","0","3","0","53","59","74","13","1","0","0","4"
"null","null","-1","3","1","54","36","59","30","1","0","1","4"
"null","null","-1","3","0","55","13","2","73","0","0","1","4"
"205","f","35","3","1","56","27","32","84","0","0","0","4"
"96","d","35","3","1","57","32","83","29","1","0","0","4"
"9","k","30","3","0","58","70","51","28","0","0","1","4"
"251","f","38","3","1","59","84","9","58","1","0","0","4"
"426","f","33","3","1","60","93","79","37","1","0","1","4"
"101","k","0","3","0","61","21","19","85","1","0","0","4"
"114","k","30","3","0","62","23","0","25","0","0","1","4"
"null","null","-1","0","0","63","73","6","28","1","1","0","4"
"70","k","30","0","0","64","16","17","8","1","1","1","4"
"182","k","0","0","0","65","18","49","47","0","1","0","4"
"186","f","28","0","1","66","42","35","74","1","1","0","4"
"77","k","0","0","0","67","48","15","23","1","1","0","4"
"297","d","32","0","1","68","17","67","61","1","1","0","4"
"214","k","0","0","0","69","65","30","43","0","1","0","4"
"135","d","28","0","1","70","65","8","97","1","1","1","4"
"225","d","32","0","1","71","41","0","34","0","1","1","4"
"15","d","30","0","1","72","7","30","57","0","1","1","4"
"112","k","30","0","0","73","80","54","30","0","1","1","4"
"400","k","0","0","0","74","53","57","1","0","1","0","4"
"93","f","32","0","1","75","95","13","10","0","1","0","4"
"7","d","29","0","1","76","89","34","97","0","1","1","4"
"277","j","0","0","0","77","7","56","3","1","1","1","4"
"215","k","30","0","0","78","73","80","86","1","1","1","4"
"300","d","27","0","1","79","28","64","45","1","1","0","4"
"640","k","30","0","0","80","75","70","51","1","1","1","4"
"222","d","32","0","1","81","13","98","92","0","1","0","4"
"210","f","27","0","1","82","23","45","37","0","1","1","4"
"1517","f","36","4","1","83","49","63","58","0","2","0","4"
"358","f","28","4","1","84","5","25","69","1","2","1","4"
"84","k","0","4","0","85","20","75","90","0","2","0","4"
"414","k","0","4","0","86","63","18","70","1","2","0","4"
