,Model,Predictive Accuracy,Params
0,MEU,0.6224479120904481,[-100.]
1,CPT,0.6581011609610619,[-100.           -1.10468882]
2,Logic,0.6581632626077933,[ -1.47902296  -2.35183162  -5.16923481 -20.10393041]
3,MEU,0.6734681677320253,[-100.]
4,CPT,0.7077339535017666,[-14.9774567   -2.49774636]
5,Logic,0.7244897958783488,[ -1.80475097  -0.78982554  -6.08539184 -20.15832262]
6,MEU,0.5144918872623607,[-100.]
7,CPT,0.5362312991600462,[-100.           -2.57321749]
8,Logic,0.5217391245386855,[ -1.19284471  -2.7332216   -5.06332825 -20.10322605]
9,MEU,0.899997459287982,[-100.]
10,CPT,0.8998342971787057,[-8.31935522e+01 -1.00000000e-03]
11,Logic,0.9199999987906778,[ -1.47712047  -3.28390578  -4.18916048 -20.05971663]
12,MEU,0.8556674838066495,[-100.]
13,CPT,0.8762644035166481,[-100.           -1.15075488]
14,Logic,0.8556701027315504,[ -2.          -2.99999999  -4.         -20.        ]
15,MEU,0.5121947574144242,[-100.]
16,CPT,0.5365675499134356,[-97.48350625  -2.19631628]
17,Logic,0.5158571110749642,[ -1.99115587  -3.01768838  -3.99115581 -19.99964603]
18,MEU,0.6510411996271641,[-100.]
19,CPT,0.6927634069058891,[-47.1867745  -3.       ]
20,Logic,0.6526056412240709,[ -2.00912194  -2.98231138  -4.00856665 -19.99930111]
21,MEU,0.6530609194692116,[-100.]
22,CPT,0.653002500927387,[-7.25798838e+01 -1.00000000e-03]
23,Logic,0.6683673447533973,[ -1.02724332  -3.52868324  -4.36224175 -20.08135976]
24,MEU,0.8949977581880519,[-100.]
25,CPT,0.9095794243604108,[-100.           -0.34041803]
26,Logic,0.9099999985564102,[ -0.93914864  -2.6912379   -5.36930666 -20.12714945]
27,MEU,0.7199991032573517,[-100.]
28,CPT,0.7842540195676232,[-100.           -2.51123451]
29,Logic,0.769999998104289,[ -1.60286055  -2.44985033  -5.04566614 -20.09287547]
30,MEU,0.5526300057726488,[-100.]
31,CPT,0.5684005764662886,[-100.           -1.09721497]
32,Logic,0.5684210525499935,[ -0.1         -2.05398001  -6.8969815  -20.15386368]
33,MEU,0.6546380967419635,[-100.]
34,CPT,0.6752136518115657,[-100.           -1.16454245]
35,Logic,0.6752577255089224,[ -1.11330302  -2.67520904  -5.07128206 -20.15629705]
36,MEU,0.6999994021730571,[-100.]
37,CPT,0.6898973719655317,[-100.           -1.10630541]
38,Logic,0.7499999999992198,[ -0.21427766  -3.83398901  -5.00447778 -20.05970993]
39,MEU,0.7760396428164139,[-100.]
40,CPT,0.7758857407709666,[-8.16612171e+01 -1.00000000e-03]
41,Logic,0.7968749981520603,[ -0.50412107  -3.28126685  -5.21806897 -20.15128464]
42,MEU,0.8282817715349512,[-100.]
43,CPT,0.8778352748952903,[-100.           -2.45298201]
44,Logic,0.919191914613727,[ -2.43678549  -1.63100785  -4.91697276 -20.11916191]
45,MEU,0.6099997010954631,[-100.]
46,CPT,0.6149745767385748,[-100.           -1.17343095]
47,Logic,0.624999999828959,[ -0.1         -3.97486258  -4.9402125  -20.14266137]
48,MEU,0.7755092890358346,[-100.]
49,CPT,0.775379559391967,[-7.54711899e+01 -1.00000000e-03]
50,Logic,0.8019385697937266,[ -1.87727828  -3.51955347  -3.60273075 -19.99206967]
51,MEU,0.6805547252465611,[-100.]
52,CPT,0.6805216561571891,[-8.81681348e+01 -1.00000000e-03]
53,Logic,0.6805555554410485,[ -1.99999999  -3.00000009  -3.99999991 -20.        ]
54,MEU,0.5957437268885329,[-100.]
55,CPT,0.6908402774515188,[-100.          -1.0247773]
56,Logic,0.6914893615229091,[ -1.23025212  -2.23896652  -5.49931827 -20.21371916]
57,MEU,0.7191766490710078,[-100.]
58,CPT,0.7637994100438725,[-100.           -1.43608985]
59,Logic,0.7534246538171151,[ -1.68839114  -2.47500833  -4.83603004 -20.08768413]
60,MEU,0.8636348539813904,[-100.]
61,CPT,0.8636348475785154,[-1.e+02 -1.e-03]
62,Logic,0.8636363634281663,[ -2.  -3.  -4. -20.]
63,MEU,0.803029095301361,[-100.]
64,CPT,0.8482615721171705,[-100.           -0.97293831]
65,Logic,0.848484846069037,[ -0.56553632  -2.16386437  -6.15795421 -20.46773948]
66,MEU,0.8232309645561593,[-100.]
67,CPT,0.8476340234379731,[-100.   -3.]
68,Logic,0.8484848473806039,[ -1.22186979  -2.09528081  -5.56386071 -20.11314178]
69,MEU,0.5684208952981188,[-100.]
70,CPT,0.5682900995950532,[-5.80709676e+01 -1.00000000e-03]
71,Logic,0.6368421030180115,[ -1.03225578  -4.41551972  -3.55136475 -20.08578973]
72,MEU,0.5651408681375956,[-11.43873819]
73,CPT,0.5651206150985579,[-1.14342543e+01 -1.00000000e-03]
74,Logic,0.5606060596159225,[ -1.0004095   -2.71453566  -5.28674898 -20.11955155]
75,MEU,0.8249979076503721,[-100.]
76,CPT,0.8249636614960726,[-9.62601181e+01 -1.00000000e-03]
77,Logic,0.8399999985004568,[ -0.92335404  -3.58143963  -4.47821018 -20.0792433 ]
78,MEU,0.6546387129962262,[-100.]
79,CPT,0.6545373461716077,[-7.13720341e+01 -1.00000000e-03]
80,Logic,0.6759074792600613,[ -1.83124909  -3.53279437  -3.63593522 -19.99617019]
81,MEU,0.7525244976808444,[-100.]
82,CPT,0.7853790218700387,[-18.58243087  -2.21134325]
83,Logic,0.7853701624210094,[ -2.4072812   -2.47579437  -4.11692462 -19.99808396]
84,MEU,0.8989867287710868,[-100.]
85,CPT,0.8987174335482428,[-8.06070538e+01 -1.00000000e-03]
86,Logic,0.9444444394120435,[ -1.10265159  -3.54627596  -4.38487149 -20.08173002]
87,MEU,0.8399985054460438,[-100.]
88,CPT,0.8397027171839548,[-7.22261296e+01 -1.00000000e-03]
89,Logic,0.8958973606565208,[ -1.55540341  -3.74870645  -3.71750344 -20.        ]
