,Model,Predictive Accuracy,Participant Data,Params
0,CPT,0.5441343365069496,1206472879_20220607.csv,
1,MEU,0.5181721909754693,1206472879_20220607.csv,
2,BVAE,0.5151378535955268,1206472879_20220607.csv,0.0
3,CNN,0.5147206094523867,1206472879_20220607.csv,0.0
4,Sparse,0.49449615770607175,1206472879_20220607.csv,0.0
5,CPT,0.5048571444111267,13896051_20220623.csv,
6,MEU,0.5000000079365079,13896051_20220623.csv,
7,BVAE,0.4995313265473314,13896051_20220623.csv,0.0
8,CNN,0.5026015790264048,13896051_20220623.csv,0.0
9,Sparse,0.4994019213093594,13896051_20220623.csv,0.0
10,CPT,0.5979486178021232,1481432285_20220607.csv,
11,MEU,0.5000000306122449,1481432285_20220607.csv,
12,BVAE,0.518618899752138,1481432285_20220607.csv,0.0
13,CNN,0.5402468069694238,1481432285_20220607.csv,0.0
14,Sparse,0.4855389550379296,1481432285_20220607.csv,0.0
15,CPT,0.5028002550474007,1571956186_20220623.csv,
16,MEU,0.5072218786391595,1571956186_20220623.csv,
17,BVAE,0.49965507292899924,1571956186_20220623.csv,0.0
18,CNN,0.4977286867005436,1571956186_20220623.csv,0.0
19,Sparse,0.4978190789412504,1571956186_20220623.csv,0.0
20,CPT,0.8790883229150258,1655417347_20220607.csv,
21,MEU,0.5000000636111112,1655417347_20220607.csv,
22,BVAE,0.8148101037285486,1655417347_20220607.csv,0.0
23,CNN,0.6377077200653977,1655417347_20220607.csv,0.0
24,Sparse,0.5815479852489542,1655417347_20220607.csv,0.0
25,CPT,0.5016108538875591,1670585779_20220607.csv,
26,MEU,0.500000002184769,1670585779_20220607.csv,
27,BVAE,0.5000703261162156,1670585779_20220607.csv,0.0
28,CNN,0.49957580495785914,1670585779_20220607.csv,0.0
29,Sparse,0.4995200401540652,1670585779_20220607.csv,0.0
30,CPT,0.8275670197749249,169075273_20220607.csv,
31,MEU,0.5506651546420834,169075273_20220607.csv,
32,BVAE,0.5965498053792844,169075273_20220607.csv,0.0
33,CNN,0.7051982170899614,169075273_20220607.csv,0.0
34,Sparse,0.4400633470201124,169075273_20220607.csv,0.0
35,CPT,0.5000061813145041,1917494030_20220701.csv,
36,MEU,0.5000000002777777,1917494030_20220701.csv,
37,BVAE,0.5001167028428763,1917494030_20220701.csv,0.0
38,CNN,0.49977552270388825,1917494030_20220701.csv,0.0
39,Sparse,0.500191226537297,1917494030_20220701.csv,0.0
40,CPT,0.5087096665787662,2024508277_20220622.csv,
41,MEU,0.5045666519371084,2024508277_20220622.csv,
42,BVAE,0.5041375564449068,2024508277_20220622.csv,0.0
43,CNN,0.5166251448174898,2024508277_20220622.csv,0.0
44,Sparse,0.5013455058162737,2024508277_20220622.csv,0.0
45,CPT,0.49999997943911956,2307452822_20220602.csv,
46,MEU,0.4999999979674797,2307452822_20220602.csv,
47,BVAE,0.5000000105411294,2307452822_20220602.csv,0.0
48,CNN,0.5000000263522282,2307452822_20220602.csv,0.0
49,Sparse,0.5000000053944981,2307452822_20220602.csv,0.0
50,CPT,0.5933791383615602,2429104214_20220607.csv,
51,MEU,0.5000000324074074,2429104214_20220607.csv,
52,BVAE,0.5257937144123909,2429104214_20220607.csv,0.0
53,CNN,0.5179456236952342,2429104214_20220607.csv,0.0
54,Sparse,0.48241855923966476,2429104214_20220607.csv,0.0
55,CPT,0.5114699842483243,2467485070_20220701.csv,
56,MEU,0.5032644972840302,2467485070_20220701.csv,
57,BVAE,0.4996715458256105,2467485070_20220701.csv,0.0
58,CNN,0.4971915772032163,2467485070_20220701.csv,0.0
59,Sparse,0.49771830857915206,2467485070_20220701.csv,0.0
60,CPT,0.5052386094555134,2616009388_20220607.csv,
61,MEU,0.5000000086520947,2616009388_20220607.csv,
62,BVAE,0.5039911016861223,2616009388_20220607.csv,0.0
63,CNN,0.5007866158474591,2616009388_20220607.csv,0.0
64,Sparse,0.5045602432867476,2616009388_20220607.csv,0.0
65,CPT,0.556826405966943,2669911017_20220607.csv,
66,MEU,0.5319535959933306,2669911017_20220607.csv,
67,BVAE,0.5137534960060011,2669911017_20220607.csv,0.0
68,CNN,0.5391165968416056,2669911017_20220607.csv,0.0
69,Sparse,0.4808149150649427,2669911017_20220607.csv,0.0
70,CPT,0.8646966664593789,282458648_20220622.csv,
71,MEU,0.5291989841210563,282458648_20220622.csv,
72,BVAE,0.7634605971883933,282458648_20220622.csv,0.0
73,CNN,0.6751720898039006,282458648_20220622.csv,0.0
74,Sparse,0.535398276747277,282458648_20220622.csv,0.0
75,CPT,0.7666230434226671,2969042685_20220622.csv,
76,MEU,0.5115513889472346,2969042685_20220622.csv,
77,BVAE,0.6833575444647692,2969042685_20220622.csv,0.0
78,CNN,0.5730145615433897,2969042685_20220622.csv,0.0
